id,year,brand,model,colour,vin,engine_number,register_number,registration_number,purchase_price,selling_price,is_sold
2,2018,TOYOTA,ETIOS,WHITE ,MBJM29BT102056484,2NRD158475,HDB253L,WW786ZN,100000.0,119999.0,False
3,2009,VOLKSWAGEN,POLO,WHITE ,AAVZZZ9NZ9U028817,BJX022074,DCF944K,CR94BBZN,100000.0,119999.0,False
4,2007,AUDI,A4,GRAPHITE,WAUZZZ8E37A258614,BWE035613,KDH754S,HAMZA M ZN,65000.0,89999.0,False
5,2012,AUDI,A4,SILVER,WAUZZZ8K8DA009274,CJE005339,FBD496K,BVB 786 B ZN,95000.0,145000.0,False
6,2020,RENAULT,TRIBER,WHITE ,MEERBC00900039480,B4DA412E026577,BSZ906X,BL47HX ZN,85000.0,105000.0,False
7,2018,VW,POLO,WHITE ,AAVZZZAWZJU000268,CHZ239280,HFV131K,4829 ZN,113000.0,160000.0,False
8,2018,RENAULT,KWID,BROWN,MEEBBA00X00595173,B4DA404E131243,ZCV260W,3529 ZN,127000.0,79999.0,False
9,2011,MERCEDES,W204 C180,SILVER,WDD2040492R175518,27182030216110,NYB131W,5423 ZN,129999.0,139999.0,False
10,2019,HYUNDAI,GRAND I10,SILVER,MALA851ALKM034989,G3LAPM899667,ZZN919W,CF55YY ZN,82946.4,89999.0,False
11,2011,VOLKSWAGEN,GOLF 6 GTI,WHITE ,WVWZZZ1KZBW163906,CCZP00606,DNC475K,CC 65 JP ZN,106000.0,119999.0,False
12,2010,HYUNDAI,I10 AUTO,WHITE ,MALAN51CMBM681242,G4LAAM438219,NFV691W,ZVM 961 GP ,78725.0,89999.0,False
